ZIP,X,Y,CITY,STATE,ZIPID
01060,-72.6313888888889,42.3186111111111,Northampton,MA,1
01101,-72.5780555555556,42.1061111111111,Springfield,MA,2
01420,-71.8022222222222,42.5836111111111,Fitchburg,MA,3
01510,-71.6827777777778,42.4166666666667,Clinton,MA,4
01570,-71.8855555555556,42.0480555555556,Webster,MA,5
01581,-71.6158333333333,42.2694444444444,Westborough,MA,6
01606,-71.8191666666667,42.2925,Worcester,MA,7
01701,-71.4158333333333,42.2769444444444,Framingham,MA,8
01730,-71.2766666666667,42.4913888888889,Bedford,MA,9
01752,-71.5405555555556,42.3461111111111,Marlborough,MA,10
01772,-71.5236111111111,42.3052777777778,Southborough,MA,11
01801,-71.1797222222222,42.4658333333333,Woburn,MA,12
01821,-71.2752777777778,42.5277777777778,Billerica,MA,13
01843,-71.1863888888889,42.6705555555556,Lawrence,MA,14
01845,-71.1411111111111,42.6663888888889,North Andover,MA,15
01854,-71.3566666666667,42.6291666666667,Lowell,MA,16
01867,-71.1025,42.5283333333333,Reading,MA,17
01876,-71.2263888888889,42.6052777777778,Tewksbury,MA,18
01886,-71.4383333333333,42.5791666666667,Westford,MA,19
01887,-71.1755555555556,42.5455555555556,Wilmington,MA,20
01890,-71.1361111111111,42.4558333333333,Winchester,MA,21
01910,-70.9638888888889,42.4622222222222,Lynn,MA,22
01970,-70.9263888888889,42.4975,Salem,MA,23
01984,-70.8858333333333,42.5825,Wenham,MA,24
02108,-71.0619444444444,42.3580555555556,Boston,MA,25
02110,-71.0375,42.3469444444445,Boston,MA,26
02111,-71.0644444444444,42.3505555555556,Boston,MA,27
02114,-71.0677777777778,42.3644444444444,Boston,MA,28
02115,-71.0869444444444,42.3480555555556,Boston,MA,29
02116,-71.0811111111111,42.3477777777778,Boston,MA,30
02120,-71.1077777777778,42.3286111111111,Boston,MA,31
02129,-71.0638888888889,42.3775,Charlestown,MA,32
02132,-71.1580555555556,42.2891666666667,West Roxbury,MA,33
02134,-71.1263888888889,42.3547222222222,Allston,MA,34
02135,-71.1625,42.3436111111111,Brighton,MA,35
02138,-71.1219444444444,42.3725,Cambridge,MA,36
02139,-71.1294444444444,42.3461111111111,Cambridge,MA,37
02142,-71.1091666666667,42.3436111111111,Cambridge,MA,38
02155,-71.1333333333333,42.4044444444444,Medford,MA,39
02188,-70.9561111111111,42.2075,Weymouth,MA,40
02199,-71.0772222222222,42.3458333333333,Boston,MA,41
02210,-71.0713888888889,42.3294444444444,Boston,MA,42
02215,-71.1283333333333,42.3252777777778,Boston,MA,43
02332,-70.7480555555556,42.0327777777778,Duxbury,MA,44
02370,-70.9252777777778,42.1186111111111,Rockland,MA,45
02451,-71.2491666666667,42.3755555555556,Waltham,MA,46
02453,-71.2497222222222,42.3752777777778,Waltham,MA,47
02466,-71.2383333333333,42.3402777777778,Auburndale,MA,48
02467,-71.1633333333333,42.3122222222222,Chestnut Hill,MA,49
02481,-71.2802777777778,42.3066666666667,Wellesley Hills,MA,50
02493,-71.3061111111111,42.3630555555556,Weston,MA,51
02747,-71.0122222222222,41.6613888888889,North Dartmouth,MA,52
02766,-71.1930555555556,41.965,Norton,MA,53
02822,-71.5363888888889,41.5808333333333,Exeter,RI,54
02840,-71.3116666666667,41.4936111111111,Newport,RI,55
02903,-71.4205555555556,41.8241666666667,Providence,RI,56
02914,-71.37,41.8136111111111,East Providence,RI,57
02917,-71.5330555555556,41.9202777777778,Smithfield,RI,58
03054,-71.4894444444444,42.8658333333333,Merrimack,NH,59
03101,-71.4894444444444,42.9697222222222,Manchester,NH,60
03103,-71.4508333333333,42.9680555555556,Manchester,NH,61
03109,-71.4416666666667,42.9558333333333,Manchester,NH,62
03431,-72.2747222222222,42.9322222222222,Keene,NH,63
03755,-72.2894444444444,43.7022222222222,Hanover,NH,64
03766,-72.2505555555556,43.6422222222222,Lebanon,NH,65
03820,-70.8752777777778,43.1977777777778,Dover,NH,66
03906,-70.7380555555556,43.3066666666667,North Berwick,ME,67
04047,-70.8891666666667,43.8072222222222,Parsonsfield,ME,68
04092,-70.3747222222222,43.6791666666667,Westbrook,ME,69
04101,-70.2688888888889,43.6572222222222,Portland,ME,70
04276,-70.5433333333333,44.5588888888889,Rumford,ME,71
05401,-73.2205555555556,44.485,Burlington,VT,72
06032,-72.8319444444445,41.7197222222222,Farmington,CT,73
06033,-72.6080555555556,41.7122222222222,Glastonbury,CT,74
06035,-72.7886111111111,41.9538888888889,Granby,CT,75
06040,-72.5213888888889,41.7761111111111,Manchester,CT,76
06043,-72.4333333333333,41.7688888888889,Bolton,CT,77
06050,-72.7761111111111,41.6702777777778,New Britain,CT,78
06051,-72.7775,41.6661111111111,New Britain,CT,79
06062,-72.8755555555556,41.67,Plainville,CT,80
06082,-72.5916666666667,41.9769444444445,Enfield,CT,81
06084,-72.3686111111111,41.8713888888889,Tolland,CT,82
06091,-72.9705555555556,42.0075,West Hartland,CT,83
06095,-72.6436111111111,41.8525,Windsor,CT,84
06096,-72.6269444444444,41.9294444444444,Windsor Locks,CT,85
06102,-72.6905555555556,41.7641666666667,Hartford,CT,86
06103,-72.6794444444444,41.7680555555556,Hartford,CT,87
06105,-72.7066666666667,41.7711111111111,Hartford,CT,88
06106,-72.6955555555556,41.7530555555556,Hartford,CT,89
06108,-72.6377777777778,41.7722222222222,East Hartford,CT,90
06115,-72.6905555555556,41.7641666666667,Hartford,CT,91
06156,-72.6838888888889,41.7644444444444,Hartford,CT,92
06183,-72.6841666666667,41.7638888888889,Hartford,CT,93
06241,-71.8875,41.8463888888889,Dayville,CT,94
06269,-72.2288888888889,41.8141666666667,Storrs Mansfield,CT,95
06320,-72.0952777777778,41.3544444444444,New London,CT,96
06340,-72.0786111111111,41.35,Groton,CT,97
06349,-72.0783333333333,41.3497222222222,Groton,CT,98
06415,-72.3319444444445,41.5758333333333,Colchester,CT,99
06451,-72.7894444444444,41.5436111111111,Meriden,CT,100
06457,-72.6541666666667,41.5627777777778,Middletown,CT,101
06484,-73.0941666666667,41.3172222222222,Shelton,CT,102
06492,-72.8230555555556,41.4569444444444,Wallingford,CT,103
06510,-72.9236111111111,41.3072222222222,New Haven,CT,104
06516,-72.9413888888889,41.2780555555556,West Haven,CT,105
06517,-72.8966666666667,41.3788888888889,Hamden,CT,106
06524,-72.9969444444445,41.4216666666667,Bethany,CT,107
06615,-73.1330555555555,41.1980555555556,Stratford,CT,108
06810,-73.4538888888889,41.3947222222222,Danbury,CT,109
06814,-73.4480555555556,41.3938888888889,Danbury,CT,110
06824,-73.2811111111111,41.1752777777778,Fairfield,CT,111
06825,-73.2413888888889,41.1972222222222,Fairfield,CT,112
06830,-73.6252777777778,41.0286111111111,Greenwich,CT,113
06840,-73.4947222222222,41.1466666666667,New Canaan,CT,114
06851,-73.4372222222222,41.1033333333333,Norwalk,CT,115
06854,-73.4266666666667,41.0991666666667,Norwalk,CT,116
06870,-73.5647222222222,41.0227777777778,Old Greenwich,CT,117
06877,-73.4980555555556,41.2813888888889,Ridgefield,CT,118
06897,-73.4377777777778,41.1952777777778,Wilton,CT,119
06901,-73.5336111111111,41.045,Stamford,CT,120
06902,-73.5411111111111,41.0525,Stamford,CT,121
06903,-73.5586111111111,41.1122222222222,Stamford,CT,122
06927,-73.5166666666667,41.0513888888889,Stamford,CT,123
,,,,,
,,,,,
,,,,,
,,,,,
,,,15129,,
