ORDERID,FROMZIP,TOZIP,CUBE,DayOfWeek,ST required?
0,01887,01887,(Depot),(Depot),(Depot)
1,01887,01801,333,Wed,no
2,01887,01821,556,Fri,no
3,01887,01843,903,Fri,no
4,01887,01845,111,Tue,no
5,01887,01867,206,Thu,no
6,01887,01876,2699,Wed,no
7,01887,01887,491,Tue,no
8,01887,01910,100,Tue,no
9,01887,02139,182,Tue,no
10,01887,02215,203,Tue,no
11,01887,02493,3153,Fri,no
12,01887,02914,608,Wed,no
13,01887,03431,117,Wed,no
14,01887,06032,1479,Mon,no
15,01887,06095,157,Mon,no
16,01887,06156,255,Fri,no
17,01887,06320,343,Fri,no
18,01887,06830,394,Tue,no
19,01887,06902,896,Fri,no
20,01887,01581,111,Mon,no
21,01887,01821,1396,Thu,no
22,01887,01845,286,Tue,no
23,01887,02129,1676,Mon,no
24,01887,02370,2077,Wed,no
25,01887,02451,2614,Thu,no
26,01887,02481,409,Tue,no
27,01887,02914,1594,Wed,no
28,01887,02110,85,Mon,yes
29,01887,06340,199,Tue,no
30,01887,06108,205,Fri,no
31,01887,02142,173,Thu,yes
32,01887,02493,152,Mon,yes
33,01887,02116,247,Tue,yes
34,01887,02215,301,Tue,yes
35,01887,06156,236,Wed,no
36,01887,06103,102,Thu,yes
37,01887,01801,128,Wed,no
38,01887,02155,143,Wed,no
39,01887,06091,257,Tue,no
40,01887,06415,213,Mon,no
41,01887,06035,163,Fri,no
42,01887,02115,135,Tue,yes
43,01887,02110,152,Wed,no
44,01887,06340,164,Fri,no
45,01887,06108,242,Mon,no
46,01887,02142,137,Thu,yes
47,01887,02111,121,Fri,yes
48,01887,06524,396,Wed,no
49,01887,06320,256,Tue,no
50,01887,06033,131,Tue,no
51,01887,02116,135,Tue,yes
52,01887,06032,180,Tue,no
53,01887,06927,112,Wed,no
54,01887,06517,283,Wed,no
55,01887,06096,112,Wed,no
56,01887,03101,94,Thu,no
57,01887,06457,180,Tue,no
58,01887,06183,183,Mon,yes
59,01887,02129,187,Fri,no
60,01887,06854,110,Tue,no
61,01887,06492,103,Thu,no
62,01887,02903,241,Wed,no
63,01887,06510,112,Thu,yes
64,01887,06824,143,Fri,no
65,01887,02917,212,Wed,no
66,01887,01984,197,Tue,no
67,01887,06241,102,Mon,no
68,01887,06349,81,Tue,no
69,01887,02115,141,Thu,no
70,01887,02110,200,Mon,yes
71,01887,02142,164,Tue,yes
72,01887,02114,199,Tue,yes
73,01887,02111,120,Wed,no
74,01887,06524,210,Tue,no
75,01887,02493,122,Thu,yes
76,01887,06320,631,Mon,no
77,01887,02210,157,Wed,yes
78,01887,01821,146,Tue,no
79,01887,02120,148,Thu,yes
80,01887,06102,110,Mon,yes
81,01887,01101,140,Wed,no
82,01887,02199,161,Fri,yes
83,01887,06877,172,Fri,no
84,01887,04092,175,Thu,no
85,01887,06825,127,Mon,no
86,01887,03766,193,Thu,no
87,01887,06897,163,Mon,no
88,01887,06040,131,Tue,no
89,01887,01510,390,Fri,no
90,01887,02132,187,Mon,no
91,01887,02115,250,Wed,yes
92,01887,02110,226,Tue,yes
93,01887,06340,219,Thu,no
94,01887,06108,150,Fri,no
95,01887,02142,114,Thu,yes
96,01887,02114,106,Wed,yes
97,01887,02139,203,Thu,yes
98,01887,06524,98,Fri,no
99,01887,02138,172,Thu,no
100,01887,02493,265,Thu,yes
101,01887,06320,103,Tue,no
102,01887,06033,168,Thu,no
103,01887,02116,130,Thu,no
104,01887,06156,124,Mon,no
105,01887,06484,572,Tue,no
106,01887,06269,186,Wed,no
107,01887,06927,106,Tue,no
108,01887,01821,261,Tue,no
109,01887,06457,198,Mon,no
110,01887,04101,177,Fri,no
111,01887,06050,186,Fri,no
112,01887,06615,181,Fri,no
113,01887,01886,163,Thu,no
114,01887,06084,78,Fri,no
115,01887,06062,286,Wed,no
116,01887,01752,164,Wed,no
117,01887,02466,161,Mon,no
118,01887,02115,117,Thu,no
119,01887,06524,138,Thu,no
120,01887,06320,124,Mon,no
121,01887,06033,243,Tue,no
122,01887,02116,283,Tue,yes
123,01887,06032,151,Wed,no
124,01887,02215,160,Thu,yes
125,01887,06927,182,Tue,no
126,01887,01801,195,Fri,no
127,01887,06105,127,Thu,no
128,01887,06457,204,Mon,no
129,01887,06901,88,Fri,no
130,01887,01570,336,Fri,no
131,01887,02134,142,Thu,yes
132,01887,03906,244,Mon,no
133,01887,06082,121,Tue,no
134,01887,06451,225,Thu,no
135,01887,01876,101,Wed,no
136,01887,03109,257,Thu,no
137,01887,06840,195,Thu,no
138,01887,01854,159,Wed,no
139,01887,02332,176,Wed,no
140,01887,02114,136,Tue,no
141,01887,02111,123,Thu,no
142,01887,02493,195,Thu,no
143,01887,06320,164,Fri,no
144,01887,06814,147,Fri,no
145,01887,06103,122,Fri,no
146,01887,03755,189,Tue,no
147,01887,06927,173,Thu,no
148,01887,06105,496,Tue,yes
149,01887,01701,137,Wed,yes
150,01887,06457,133,Tue,no
151,01887,04101,105,Thu,no
152,01887,06183,211,Mon,yes
153,01887,06902,149,Tue,no
154,01887,02766,345,Thu,no
155,01887,06040,184,Mon,no
156,01887,06903,197,Wed,no
157,01887,06870,126,Fri,no
158,01887,02115,170,Wed,yes
159,01887,02110,119,Thu,yes
160,01887,06340,260,Thu,no
161,01887,06108,237,Fri,no
162,01887,02114,106,Mon,yes
163,01887,02139,119,Tue,yes
164,01887,06524,149,Fri,no
165,01887,02493,128,Fri,yes
166,01887,06320,474,Thu,no
167,01887,06033,140,Wed,no
168,01887,06096,170,Mon,no
169,01887,02120,202,Fri,yes
170,01887,04101,188,Thu,no
171,01887,06854,376,Wed,no
172,01887,06810,261,Fri,no
173,01887,02155,96,Wed,no
174,01887,02453,182,Fri,yes
175,01887,05401,160,Mon,no
176,01887,01730,226,Tue,no
177,01887,06106,164,Tue,yes
178,01887,02135,165,Mon,no
179,01887,06082,135,Tue,no
180,01887,06043,159,Mon,no
181,01887,04047,243,Tue,no
182,01887,04276,140,Tue,no
183,01887,02115,203,Thu,yes
184,01887,02110,153,Thu,yes
185,01887,02111,158,Thu,no
186,01887,02139,131,Tue,yes
187,01887,02138,143,Tue,no
188,01887,02493,127,Mon,no
189,01887,02116,123,Thu,no
190,01887,02215,140,Thu,yes
191,01887,02451,131,Fri,no
192,01887,06103,127,Mon,no
193,01887,06269,118,Wed,no
194,01887,03755,112,Thu,no
195,01887,03054,319,Thu,no
196,01887,01890,250,Thu,no
197,01887,06851,348,Thu,no
198,01887,01581,102,Fri,no
199,01887,03103,197,Thu,no
200,01887,01606,159,Wed,no
201,01887,01752,124,Mon,no
202,01887,02108,121,Thu,yes
203,01887,01420,444,Fri,no
204,01887,06051,423,Fri,no
205,01887,02840,366,Wed,no
206,01887,02110,176,Wed,yes
207,01887,06340,145,Mon,no
208,01887,02114,140,Fri,yes
209,01887,02111,246,Mon,yes
210,01887,02139,401,Thu,no
211,01887,02138,141,Tue,yes
212,01887,02493,114,Tue,yes
213,01887,06032,154,Fri,no
214,01887,06814,251,Thu,no
215,01887,02215,178,Thu,yes
216,01887,06156,263,Tue,no
217,01887,06269,220,Mon,no
218,01887,03755,193,Thu,no
219,01887,01701,137,Thu,no
220,01887,06096,98,Wed,no
221,01887,02467,143,Tue,no
222,01887,04101,105,Thu,no
223,01887,06183,144,Mon,no
224,01887,06902,276,Tue,no
225,01887,03431,129,Wed,no
226,01887,06615,187,Fri,no
227,01887,06877,125,Thu,no
228,01887,01772,119,Fri,no
229,01887,01752,180,Thu,no
230,01887,01867,132,Fri,no
231,01887,01060,151,Wed,no
232,01887,02188,146,Thu,no
233,01887,02822,151,Wed,no
234,01887,03820,237,Tue,no
235,01887,06115,105,Tue,yes
236,01887,02115,221,Fri,yes
237,01887,06340,148,Mon,no
238,01887,06108,246,Wed,no
239,01887,02142,122,Tue,yes
240,01887,02114,174,Wed,yes
241,01887,06524,153,Mon,no
242,01887,02138,109,Fri,yes
243,01887,06320,89,Tue,no
244,01887,02210,163,Mon,yes
245,01887,02116,227,Thu,yes
246,01887,06032,129,Wed,no
247,01887,06814,166,Thu,no
248,01887,06105,149,Wed,yes
249,01887,01701,106,Fri,no
250,01887,06517,167,Mon,no
251,01887,01821,146,Mon,no
252,01887,01970,181,Fri,no
253,01887,06095,94,Wed,no
254,01887,06183,111,Tue,no
255,01887,02129,120,Mon,yes
256,01887,06854,152,Thu,no
257,01887,06901,235,Wed,no
258,01887,05401,165,Mon,no
259,01887,02747,131,Thu,no
260,01887,02135,132,Wed,no
261,01887,06516,130,Wed,no
